"","caseid","year","degree","consci"
"27712",27712,1991,"Lt High School","Only Some"
"27713",27713,1991,"Lt High School","Only Some"
"27714",27714,1991,"High School","Only Some"
"27715",27715,1991,"Lt High School","A Great Deal"
"27717",27717,1991,"Lt High School","Only Some"
"27721",27721,1991,"High School","Only Some"
"27723",27723,1991,"High School","Only Some"
"27724",27724,1991,"High School","Only Some"
"27725",27725,1991,"Bachelor","Only Some"
"27726",27726,1991,"High School","Only Some"
"27728",27728,1991,"Lt High School","Only Some"
"27729",27729,1991,"Lt High School","Only Some"
"27731",27731,1991,"High School","Only Some"
"27732",27732,1991,"High School","Only Some"
"27733",27733,1991,"High School","Only Some"
"27735",27735,1991,"Lt High School","Only Some"
"27737",27737,1991,"High School","Only Some"
"27738",27738,1991,"High School","A Great Deal"
"27739",27739,1991,"Lt High School","Only Some"
"27740",27740,1991,"Lt High School","Only Some"
"27742",27742,1991,"High School","Only Some"
"27744",27744,1991,"High School","Only Some"
"27746",27746,1991,"High School","Only Some"
"27748",27748,1991,"High School","Only Some"
"27749",27749,1991,"High School","A Great Deal"
"27751",27751,1991,"High School","Only Some"
"27752",27752,1991,"High School","A Great Deal"
"27753",27753,1991,"Bachelor","A Great Deal"
"27755",27755,1991,"High School","Only Some"
"27756",27756,1991,"High School","Only Some"
"27757",27757,1991,"Bachelor","Only Some"
"27759",27759,1991,"High School","A Great Deal"
"27761",27761,1991,"Junior College","Only Some"
"27762",27762,1991,"High School","Only Some"
"27764",27764,1991,"Lt High School","Only Some"
"27765",27765,1991,"High School","Only Some"
"27767",27767,1991,"High School","Only Some"
"27769",27769,1991,"High School","Only Some"
"27770",27770,1991,"High School","Only Some"
"27771",27771,1991,"High School","A Great Deal"
"27772",27772,1991,"High School","Only Some"
"27774",27774,1991,"High School","Only Some"
"27778",27778,1991,"High School","A Great Deal"
"27780",27780,1991,"Lt High School","Hardly Any"
"27781",27781,1991,"High School","A Great Deal"
"27782",27782,1991,"High School","A Great Deal"
"27783",27783,1993,"High School","Only Some"
"27785",27785,1993,"Bachelor","Only Some"
"27786",27786,1993,"High School","A Great Deal"
"27788",27788,1993,"High School","Only Some"
"27789",27789,1993,"High School","Hardly Any"
"27790",27790,1993,"High School","A Great Deal"
"27793",27793,1993,"Graduate","Only Some"
"27794",27794,1993,"High School","Only Some"
"27795",27795,1993,"High School","Only Some"
"27800",27800,1993,"High School","A Great Deal"
"27802",27802,1993,"Bachelor","Only Some"
"27805",27805,1993,"Graduate","Only Some"
"27806",27806,1993,"Bachelor","Only Some"
"27809",27809,1993,"Bachelor","Only Some"
"27810",27810,1993,"Bachelor","Only Some"
"27811",27811,1993,"Bachelor","A Great Deal"
"27812",27812,1993,"High School","Only Some"
"27813",27813,1993,"Graduate","A Great Deal"
"27815",27815,1993,"Bachelor","Hardly Any"
"27816",27816,1993,"Lt High School","A Great Deal"
"27817",27817,1993,"High School","Only Some"
"27818",27818,1993,"High School","A Great Deal"
"27820",27820,1993,"High School","Only Some"
"27823",27823,1993,"High School","Only Some"
"27827",27827,1993,"High School","Only Some"
"27828",27828,1993,"High School","A Great Deal"
"27830",27830,1993,"Graduate","Only Some"
"27832",27832,1993,"Bachelor","A Great Deal"
"27833",27833,1993,"Bachelor","A Great Deal"
"27834",27834,1993,"High School","Only Some"
"27836",27836,1993,"High School","Only Some"
"27837",27837,1993,"High School","Only Some"
"27841",27841,1993,"Bachelor","Only Some"
"27842",27842,1993,"Bachelor","Only Some"
"27845",27845,1993,"High School","A Great Deal"
"27846",27846,1993,"Bachelor","Only Some"
"27847",27847,1993,"High School","A Great Deal"
"27848",27848,1993,"High School","Only Some"
"27852",27852,1993,"High School","A Great Deal"
"27854",27854,1993,"Bachelor","A Great Deal"
"27857",27857,1993,"High School","Only Some"
"27858",27858,1993,"Lt High School","Only Some"
"27860",27860,1993,"High School","Only Some"
"27862",27862,1993,"Lt High School","Hardly Any"
"27864",27864,1993,"Lt High School","A Great Deal"
"27865",27865,1993,"Junior College","Hardly Any"
"27866",27866,1993,"High School","Hardly Any"
"27867",27867,1993,"Bachelor","Only Some"
"27868",27868,1993,"High School","A Great Deal"
"27869",27869,1993,"High School","A Great Deal"
"27870",27870,1993,"Bachelor","Only Some"
"27871",27871,1993,"High School","A Great Deal"
"27874",27874,1993,"High School","Only Some"
"27875",27875,1993,"Graduate","Only Some"
"27878",27878,1993,"Graduate","Only Some"
"27880",27880,1993,"Bachelor","A Great Deal"
"27881",27881,1993,"Lt High School","Only Some"
"27886",27886,1993,"Bachelor","A Great Deal"
"27887",27887,1993,"High School","Only Some"
"27888",27888,1993,"High School","A Great Deal"
"27890",27890,1993,"High School","A Great Deal"
"27891",27891,1993,"Bachelor","A Great Deal"
"27893",27893,1993,"Junior College","Only Some"
"27894",27894,1993,"Bachelor","A Great Deal"
"27895",27895,1993,"High School","A Great Deal"
"27897",27897,1993,"Graduate","Only Some"
"27899",27899,1993,"Bachelor","Only Some"
"27900",27900,1993,"Graduate","Only Some"
"27901",27901,1993,"Graduate","A Great Deal"
"27902",27902,1993,"Junior College","Only Some"
"27904",27904,1993,"Junior College","A Great Deal"
"27906",27906,1993,"High School","A Great Deal"
"27907",27907,1993,"Bachelor","A Great Deal"
"27908",27908,1993,"High School","Only Some"
"27911",27911,1993,"Bachelor","Only Some"
"27912",27912,1993,"High School","Only Some"
"27914",27914,1993,"High School","Only Some"
"27916",27916,1993,"High School","A Great Deal"
"27921",27921,1993,"Bachelor","Only Some"
"27923",27923,1993,"Graduate","A Great Deal"
"27924",27924,1993,"High School","A Great Deal"
"27926",27926,1993,"High School","Only Some"
"27927",27927,1993,"High School","A Great Deal"
"27932",27932,1993,"High School","Only Some"
"27934",27934,1993,"High School","Only Some"
"27935",27935,1993,"High School","A Great Deal"
"27936",27936,1993,"Bachelor","Only Some"
"27937",27937,1993,"Bachelor","A Great Deal"
"27938",27938,1993,"Bachelor","Only Some"
"27940",27940,1993,"Graduate","A Great Deal"
"27941",27941,1993,"Graduate","A Great Deal"
"27942",27942,1993,"Graduate","Only Some"
"27943",27943,1993,"Bachelor","A Great Deal"
"27944",27944,1993,"Bachelor","A Great Deal"
"27945",27945,1993,"Bachelor","A Great Deal"
"27946",27946,1993,"Graduate","A Great Deal"
"27947",27947,1993,"Bachelor","A Great Deal"
"27948",27948,1993,"High School","Only Some"
"27949",27949,1993,"Lt High School","Only Some"
"27951",27951,1993,"High School","Only Some"
"27958",27958,1993,"Bachelor","A Great Deal"
"27960",27960,1993,"High School","Hardly Any"
"27962",27962,1993,"High School","Only Some"
"27963",27963,1993,"Bachelor","A Great Deal"
"27965",27965,1993,"Graduate","Only Some"
"27966",27966,1993,"High School","A Great Deal"
"27967",27967,1993,"Lt High School","Only Some"
"27969",27969,1993,"Lt High School","A Great Deal"
"27971",27971,1993,"Junior College","Only Some"
"27974",27974,1993,"High School","A Great Deal"
"27976",27976,1993,"Graduate","Only Some"
"27977",27977,1993,"High School","A Great Deal"
"27980",27980,1993,"High School","A Great Deal"
"27981",27981,1993,"High School","Only Some"
"27982",27982,1993,"High School","Only Some"
"27983",27983,1993,"Graduate","Only Some"
"27985",27985,1993,"Graduate","A Great Deal"
"27986",27986,1993,"Bachelor","Only Some"
"27988",27988,1993,"Graduate","A Great Deal"
"27989",27989,1993,"Lt High School","A Great Deal"
"27991",27991,1993,"Bachelor","A Great Deal"
"27993",27993,1993,"Graduate","A Great Deal"
"27996",27996,1993,"Bachelor","A Great Deal"
"27997",27997,1993,"High School","A Great Deal"
"27998",27998,1993,"High School","Only Some"
"27999",27999,1993,"Lt High School","Hardly Any"
"28001",28001,1993,"Graduate","A Great Deal"
"28003",28003,1993,"Lt High School","Only Some"
"28005",28005,1993,"Graduate","A Great Deal"
"28007",28007,1993,"High School","Only Some"
"28009",28009,1993,"High School","Hardly Any"
"28010",28010,1993,"High School","A Great Deal"
"28012",28012,1993,"High School","Only Some"
"28015",28015,1993,"Bachelor","Only Some"
"28016",28016,1993,"Bachelor","Only Some"
"28018",28018,1993,"Lt High School","Hardly Any"
"28019",28019,1993,"High School","Only Some"
"28020",28020,1993,"High School","A Great Deal"
"28021",28021,1993,"Bachelor","Only Some"
"28022",28022,1993,"High School","Only Some"
"28026",28026,1993,"Graduate","Only Some"
"28027",28027,1993,"Lt High School","Hardly Any"
"28029",28029,1993,"Bachelor","A Great Deal"
"28031",28031,1993,"Bachelor","A Great Deal"
"28032",28032,1993,"Junior College","A Great Deal"
"28033",28033,1993,"Bachelor","Only Some"
"28034",28034,1993,"Bachelor","Only Some"
"28035",28035,1993,"High School","A Great Deal"
"28036",28036,1993,"Lt High School","A Great Deal"
"28038",28038,1993,"High School","A Great Deal"
"28039",28039,1993,"High School","Only Some"
"28040",28040,1993,"High School","A Great Deal"
"28042",28042,1993,"Bachelor","A Great Deal"
"28043",28043,1993,"High School","A Great Deal"
"28044",28044,1993,"High School","A Great Deal"
"28045",28045,1993,"Bachelor","A Great Deal"
"28046",28046,1993,"High School","A Great Deal"
"28050",28050,1993,"Lt High School","A Great Deal"
"28053",28053,1993,"High School","A Great Deal"
"28054",28054,1993,"High School","A Great Deal"
"28055",28055,1993,"High School","Hardly Any"
"28056",28056,1993,"Lt High School","Only Some"
"28062",28062,1993,"High School","A Great Deal"
"28063",28063,1993,"High School","Only Some"
"28065",28065,1993,"High School","A Great Deal"
"28066",28066,1993,"High School","Only Some"
"28067",28067,1993,"High School","A Great Deal"
"28069",28069,1993,"Junior College","Only Some"
"28070",28070,1993,"High School","A Great Deal"
"28071",28071,1993,"Bachelor","A Great Deal"
"28072",28072,1993,"Bachelor","Only Some"
"28073",28073,1993,"High School","A Great Deal"
"28075",28075,1993,"High School","A Great Deal"
"28077",28077,1993,"Lt High School","A Great Deal"
"28079",28079,1993,"High School","A Great Deal"
"28080",28080,1993,"High School","A Great Deal"
"28081",28081,1993,"Bachelor","A Great Deal"
"28082",28082,1993,"Graduate","Only Some"
"28083",28083,1993,"High School","Hardly Any"
"28087",28087,1993,"Bachelor","A Great Deal"
"28089",28089,1993,"High School","Only Some"
"28090",28090,1993,"High School","Only Some"
"28091",28091,1993,"Graduate","A Great Deal"
"28095",28095,1993,"High School","A Great Deal"
"28096",28096,1993,"Junior College","Only Some"
"28097",28097,1993,"High School","A Great Deal"
"28100",28100,1993,"High School","Only Some"
"28102",28102,1993,"Graduate","A Great Deal"
"28103",28103,1993,"Bachelor","A Great Deal"
"28105",28105,1993,"Lt High School","A Great Deal"
"28106",28106,1993,"Graduate","Only Some"
"28107",28107,1993,"High School","Only Some"
"28109",28109,1993,"High School","A Great Deal"
"28110",28110,1993,"High School","A Great Deal"
"28111",28111,1993,"High School","Only Some"
"28115",28115,1993,"Bachelor","A Great Deal"
"28116",28116,1993,"High School","A Great Deal"
"28118",28118,1993,"High School","Only Some"
"28119",28119,1993,"Bachelor","Only Some"
"28120",28120,1993,"High School","Only Some"
"28121",28121,1993,"Lt High School","A Great Deal"
"28122",28122,1993,"Junior College","A Great Deal"
"28124",28124,1993,"High School","A Great Deal"
"28125",28125,1993,"High School","Only Some"
"28127",28127,1993,"High School","A Great Deal"
"28129",28129,1993,"High School","Only Some"
"28130",28130,1993,"Lt High School","A Great Deal"
"28131",28131,1993,"High School","Only Some"
"28133",28133,1993,"High School","Only Some"
"28134",28134,1993,"Lt High School","Only Some"
"28138",28138,1993,"High School","A Great Deal"
"28141",28141,1993,"High School","A Great Deal"
"28143",28143,1993,"Lt High School","Only Some"
"28145",28145,1993,"High School","A Great Deal"
"28146",28146,1993,"High School","A Great Deal"
"28148",28148,1993,"High School","Only Some"
"28149",28149,1993,"High School","Only Some"
"28150",28150,1993,"Lt High School","Only Some"
"28151",28151,1993,"Bachelor","Only Some"
"28152",28152,1993,"High School","Only Some"
"28154",28154,1993,"High School","Only Some"
"28155",28155,1993,"High School","Only Some"
"28157",28157,1993,"High School","A Great Deal"
"28158",28158,1993,"High School","A Great Deal"
"28159",28159,1993,"Lt High School","Only Some"
"28165",28165,1993,"Bachelor","A Great Deal"
"28166",28166,1993,"Lt High School","Only Some"
"28167",28167,1993,"Lt High School","A Great Deal"
"28168",28168,1993,"High School","A Great Deal"
"28169",28169,1993,"Lt High School","A Great Deal"
"28170",28170,1993,"Lt High School","Only Some"
"28172",28172,1993,"Lt High School","A Great Deal"
"28173",28173,1993,"High School","Only Some"
"28174",28174,1993,"Junior College","Only Some"
"28175",28175,1993,"Graduate","Only Some"
"28176",28176,1993,"High School","Only Some"
"28179",28179,1993,"High School","Only Some"
"28180",28180,1993,"Junior College","A Great Deal"
"28181",28181,1993,"High School","Only Some"
"28183",28183,1993,"High School","Only Some"
"28184",28184,1993,"High School","A Great Deal"
"28185",28185,1993,"High School","Only Some"
"28186",28186,1993,"High School","Only Some"
"28187",28187,1993,"High School","Hardly Any"
"28188",28188,1993,"Lt High School","A Great Deal"
"28192",28192,1993,"High School","Only Some"
"28193",28193,1993,"Junior College","Only Some"
"28194",28194,1993,"Bachelor","A Great Deal"
"28195",28195,1993,"High School","A Great Deal"
"28196",28196,1993,"Junior College","Only Some"
"28201",28201,1993,"High School","Hardly Any"
"28202",28202,1993,"High School","Hardly Any"
"28203",28203,1993,"Lt High School","Only Some"
"28204",28204,1993,"High School","Only Some"
"28207",28207,1993,"Lt High School","Only Some"
"28208",28208,1993,"Junior College","A Great Deal"
"28210",28210,1993,"High School","Only Some"
"28212",28212,1993,"Lt High School","Only Some"
"28213",28213,1993,"Bachelor","Only Some"
"28214",28214,1993,"High School","Hardly Any"
"28216",28216,1993,"Graduate","A Great Deal"
"28217",28217,1993,"Bachelor","A Great Deal"
"28218",28218,1993,"High School","Only Some"
"28219",28219,1993,"Junior College","A Great Deal"
"28221",28221,1993,"High School","A Great Deal"
"28222",28222,1993,"High School","Only Some"
"28229",28229,1993,"Lt High School","A Great Deal"
"28230",28230,1993,"Lt High School","A Great Deal"
"28231",28231,1993,"Lt High School","Only Some"
"28234",28234,1993,"High School","Only Some"
"28235",28235,1993,"High School","A Great Deal"
"28236",28236,1993,"High School","Only Some"
"28237",28237,1993,"Bachelor","A Great Deal"
"28239",28239,1993,"High School","A Great Deal"
"28240",28240,1993,"Lt High School","Only Some"
"28241",28241,1993,"Bachelor","A Great Deal"
"28246",28246,1993,"Bachelor","A Great Deal"
"28247",28247,1993,"Lt High School","Only Some"
"28249",28249,1993,"High School","A Great Deal"
"28250",28250,1993,"High School","Only Some"
"28254",28254,1993,"High School","A Great Deal"
"28255",28255,1993,"High School","Only Some"
"28260",28260,1993,"Graduate","Only Some"
"28261",28261,1993,"Bachelor","Only Some"
"28262",28262,1993,"High School","Only Some"
"28265",28265,1993,"Graduate","Only Some"
"28267",28267,1993,"High School","A Great Deal"
"28270",28270,1993,"High School","Only Some"
"28271",28271,1993,"High School","Only Some"
"28272",28272,1993,"Graduate","Only Some"
"28273",28273,1993,"Bachelor","A Great Deal"
"28274",28274,1993,"Bachelor","A Great Deal"
"28275",28275,1993,"High School","A Great Deal"
"28277",28277,1993,"Lt High School","Only Some"
"28280",28280,1993,"High School","A Great Deal"
"28281",28281,1993,"High School","Only Some"
"28282",28282,1993,"High School","A Great Deal"
"28283",28283,1993,"Lt High School","A Great Deal"
"28285",28285,1993,"Bachelor","A Great Deal"
"28289",28289,1993,"High School","A Great Deal"
"28290",28290,1993,"Junior College","Only Some"
"28291",28291,1993,"High School","A Great Deal"
"28292",28292,1993,"High School","A Great Deal"
"28293",28293,1993,"High School","A Great Deal"
"28295",28295,1993,"High School","Only Some"
"28296",28296,1993,"Bachelor","Only Some"
"28299",28299,1993,"Junior College","A Great Deal"
"28300",28300,1993,"High School","Only Some"
"28303",28303,1993,"Bachelor","Only Some"
"28304",28304,1993,"High School","Only Some"
"28305",28305,1993,"High School","Only Some"
"28306",28306,1993,"High School","A Great Deal"
"28307",28307,1993,"Bachelor","A Great Deal"
"28308",28308,1993,"High School","Only Some"
"28310",28310,1993,"High School","A Great Deal"
"28311",28311,1993,"High School","Only Some"
"28312",28312,1993,"High School","A Great Deal"
"28313",28313,1993,"High School","Only Some"
"28314",28314,1993,"Graduate","A Great Deal"
"28316",28316,1993,"High School","Only Some"
"28319",28319,1993,"Lt High School","Only Some"
"28320",28320,1993,"High School","Only Some"
"28321",28321,1993,"Bachelor","Only Some"
"28326",28326,1993,"High School","Only Some"
"28327",28327,1993,"High School","Only Some"
"28328",28328,1993,"Graduate","A Great Deal"
"28329",28329,1993,"High School","Only Some"
"28334",28334,1993,"High School","Only Some"
"28335",28335,1993,"Junior College","A Great Deal"
"28337",28337,1993,"Junior College","A Great Deal"
"28339",28339,1993,"High School","Only Some"
"28340",28340,1993,"High School","Only Some"
"28341",28341,1993,"Lt High School","Hardly Any"
"28343",28343,1993,"High School","A Great Deal"
"28344",28344,1993,"High School","A Great Deal"
"28347",28347,1993,"Junior College","Only Some"
"28348",28348,1993,"Bachelor","Only Some"
"28350",28350,1993,"Lt High School","Only Some"
"28351",28351,1993,"High School","A Great Deal"
"28352",28352,1993,"High School","Only Some"
"28353",28353,1993,"Bachelor","A Great Deal"
"28354",28354,1993,"High School","Only Some"
"28355",28355,1993,"Junior College","A Great Deal"
"28356",28356,1993,"Lt High School","Only Some"
"28358",28358,1993,"High School","Only Some"
"28359",28359,1993,"High School","Only Some"
"28360",28360,1993,"High School","Hardly Any"
"28361",28361,1993,"High School","Only Some"
"28364",28364,1993,"High School","A Great Deal"
"28366",28366,1993,"Junior College","A Great Deal"
"28368",28368,1993,"Junior College","A Great Deal"
"28370",28370,1993,"Lt High School","Only Some"
"28371",28371,1993,"High School","A Great Deal"
"28375",28375,1993,"High School","Only Some"
"28376",28376,1993,"High School","Only Some"
"28378",28378,1993,"High School","Only Some"
"28380",28380,1993,"High School","Hardly Any"
"28382",28382,1993,"High School","Only Some"
"28383",28383,1993,"High School","A Great Deal"
"28384",28384,1993,"High School","Only Some"
"28386",28386,1993,"High School","A Great Deal"
"28389",28389,1993,"High School","Only Some"
"28390",28390,1993,"High School","Only Some"
"28391",28391,1993,"High School","A Great Deal"
"28392",28392,1993,"High School","A Great Deal"
"28393",28393,1993,"Bachelor","Only Some"
"28396",28396,1993,"High School","A Great Deal"
"28397",28397,1993,"High School","A Great Deal"
"28398",28398,1993,"Lt High School","Only Some"
"28399",28399,1993,"High School","Only Some"
"28400",28400,1993,"Lt High School","Only Some"
"28402",28402,1993,"Lt High School","A Great Deal"
"28403",28403,1993,"Lt High School","Only Some"
"28404",28404,1993,"High School","Only Some"
"28405",28405,1993,"High School","A Great Deal"
"28406",28406,1993,"Lt High School","Only Some"
"28407",28407,1993,"High School","Only Some"
"28411",28411,1993,"High School","Only Some"
"28413",28413,1993,"High School","Only Some"
"28416",28416,1993,"High School","A Great Deal"
"28423",28423,1993,"High School","Hardly Any"
"28424",28424,1993,"High School","Hardly Any"
"28427",28427,1993,"Bachelor","Only Some"
"28429",28429,1993,"High School","Only Some"
"28431",28431,1993,"Lt High School","Only Some"
"28432",28432,1993,"High School","A Great Deal"
"28433",28433,1993,"Junior College","A Great Deal"
"28435",28435,1993,"High School","Hardly Any"
"28436",28436,1993,"High School","Only Some"
"28442",28442,1993,"Lt High School","Only Some"
"28443",28443,1993,"High School","A Great Deal"
"28444",28444,1993,"High School","Only Some"
"28445",28445,1993,"High School","Only Some"
"28446",28446,1993,"High School","Only Some"
"28447",28447,1993,"High School","A Great Deal"
"28449",28449,1993,"High School","Only Some"
"28452",28452,1993,"Junior College","Only Some"
"28454",28454,1993,"Lt High School","Only Some"
"28457",28457,1993,"Lt High School","Hardly Any"
"28458",28458,1993,"Lt High School","Only Some"
"28459",28459,1993,"High School","A Great Deal"
"28460",28460,1993,"High School","Only Some"
"28463",28463,1993,"Lt High School","Hardly Any"
"28464",28464,1993,"High School","Only Some"
"28465",28465,1993,"Lt High School","Only Some"
"28466",28466,1993,"High School","Only Some"
"28468",28468,1993,"Lt High School","Only Some"
"28470",28470,1993,"Lt High School","Only Some"
"28474",28474,1993,"Graduate","A Great Deal"
"28475",28475,1993,"Bachelor","Only Some"
"28478",28478,1993,"High School","Only Some"
"28479",28479,1993,"Bachelor","Only Some"
"28480",28480,1993,"High School","Only Some"
"28481",28481,1993,"High School","Only Some"
"28482",28482,1993,"Lt High School","Hardly Any"
"28484",28484,1993,"High School","Only Some"
"28485",28485,1993,"Junior College","Hardly Any"
"28488",28488,1993,"Lt High School","Only Some"
"28489",28489,1993,"Lt High School","Hardly Any"
"28490",28490,1993,"High School","Only Some"
"28492",28492,1993,"High School","Hardly Any"
"28493",28493,1993,"Junior College","Only Some"
"28497",28497,1993,"Lt High School","Hardly Any"
"28498",28498,1993,"High School","Only Some"
"28499",28499,1993,"Graduate","A Great Deal"
"28502",28502,1993,"Bachelor","Only Some"
"28503",28503,1993,"High School","Only Some"
"28508",28508,1993,"Bachelor","Only Some"
"28509",28509,1993,"High School","Only Some"
"28511",28511,1993,"Bachelor","Only Some"
"28516",28516,1993,"High School","Hardly Any"
"28517",28517,1993,"Lt High School","A Great Deal"
"28518",28518,1993,"High School","Hardly Any"
"28520",28520,1993,"Lt High School","Only Some"
"28522",28522,1993,"Lt High School","A Great Deal"
"28525",28525,1993,"High School","A Great Deal"
"28526",28526,1993,"High School","A Great Deal"
"28528",28528,1993,"Lt High School","Only Some"
"28530",28530,1993,"Graduate","Only Some"
"28533",28533,1993,"High School","Only Some"
"28538",28538,1993,"Bachelor","A Great Deal"
"28539",28539,1993,"High School","Only Some"
"28542",28542,1993,"Lt High School","A Great Deal"
"28544",28544,1993,"Junior College","A Great Deal"
"28545",28545,1993,"High School","Only Some"
"28546",28546,1993,"Lt High School","Only Some"
"28547",28547,1993,"High School","A Great Deal"
"28549",28549,1993,"Junior College","A Great Deal"
"28550",28550,1993,"High School","Only Some"
"28554",28554,1993,"High School","A Great Deal"
"28555",28555,1993,"High School","A Great Deal"
"28558",28558,1993,"Bachelor","Only Some"
"28562",28562,1993,"High School","A Great Deal"
"28563",28563,1993,"High School","Only Some"
"28564",28564,1993,"Bachelor","Only Some"
"28566",28566,1993,"High School","A Great Deal"
"28568",28568,1993,"Bachelor","A Great Deal"
"28569",28569,1993,"High School","Only Some"
"28570",28570,1993,"Bachelor","A Great Deal"
"28571",28571,1993,"High School","Only Some"
"28572",28572,1993,"Graduate","Only Some"
"28574",28574,1993,"Junior College","A Great Deal"
"28575",28575,1993,"High School","Only Some"
"28577",28577,1993,"Bachelor","Only Some"
"28581",28581,1993,"Lt High School","Only Some"
"28582",28582,1993,"High School","Only Some"
"28583",28583,1993,"High School","A Great Deal"
"28584",28584,1993,"High School","A Great Deal"
"28585",28585,1993,"Graduate","Only Some"
"28586",28586,1993,"Graduate","A Great Deal"
"28589",28589,1993,"Lt High School","Only Some"
"28591",28591,1993,"Graduate","Only Some"
"28592",28592,1993,"Junior College","Only Some"
"28595",28595,1993,"Graduate","A Great Deal"
"28596",28596,1993,"Graduate","A Great Deal"
"28599",28599,1993,"Lt High School","A Great Deal"
"28602",28602,1993,"High School","Only Some"
"28603",28603,1993,"Bachelor","Only Some"
"28604",28604,1993,"Bachelor","Only Some"
"28607",28607,1993,"Bachelor","Only Some"
"28608",28608,1993,"Graduate","A Great Deal"
"28609",28609,1993,"Bachelor","Only Some"
"28610",28610,1993,"High School","Only Some"
"28612",28612,1993,"High School","Only Some"
"28613",28613,1993,"High School","A Great Deal"
"28614",28614,1993,"Bachelor","A Great Deal"
"28617",28617,1993,"Junior College","Only Some"
"28620",28620,1993,"Bachelor","Only Some"
"28621",28621,1993,"High School","Only Some"
"28622",28622,1993,"Bachelor","A Great Deal"
"28625",28625,1993,"High School","A Great Deal"
"28627",28627,1993,"High School","Only Some"
"28628",28628,1993,"High School","A Great Deal"
"28632",28632,1993,"Bachelor","A Great Deal"
"28633",28633,1993,"High School","Only Some"
"28634",28634,1993,"Graduate","Only Some"
"28635",28635,1993,"Graduate","Only Some"
"28639",28639,1993,"Graduate","Only Some"
"28640",28640,1993,"Lt High School","A Great Deal"
"28641",28641,1993,"Graduate","A Great Deal"
"28642",28642,1993,"High School","Only Some"
"28643",28643,1993,"Graduate","A Great Deal"
"28644",28644,1993,"Bachelor","Only Some"
"28646",28646,1993,"Bachelor","Only Some"
"28648",28648,1993,"Bachelor","A Great Deal"
"28649",28649,1993,"Lt High School","A Great Deal"
"28651",28651,1993,"Bachelor","Only Some"
"28652",28652,1993,"Lt High School","A Great Deal"
"28653",28653,1993,"High School","Hardly Any"
"28654",28654,1993,"High School","A Great Deal"
"28656",28656,1993,"High School","A Great Deal"
"28657",28657,1993,"High School","A Great Deal"
"28658",28658,1993,"Bachelor","Only Some"
"28659",28659,1993,"Bachelor","Only Some"
"28666",28666,1993,"Junior College","Only Some"
"28667",28667,1993,"High School","Only Some"
"28668",28668,1993,"Bachelor","Hardly Any"
"28669",28669,1993,"High School","Only Some"
"28670",28670,1993,"High School","Only Some"
"28675",28675,1993,"High School","Only Some"
"28678",28678,1993,"Lt High School","Only Some"
"28679",28679,1993,"Junior College","Only Some"
"28682",28682,1993,"Bachelor","A Great Deal"
"28683",28683,1993,"Junior College","Only Some"
"28684",28684,1993,"Graduate","Only Some"
"28685",28685,1993,"High School","Only Some"
"28686",28686,1993,"Bachelor","A Great Deal"
"28687",28687,1993,"Lt High School","Only Some"
"28688",28688,1993,"High School","Only Some"
"28689",28689,1993,"High School","Hardly Any"
"28692",28692,1993,"Graduate","Only Some"
"28694",28694,1993,"Graduate","Only Some"
"28696",28696,1993,"High School","Hardly Any"
"28697",28697,1993,"High School","Only Some"
"28700",28700,1993,"High School","Only Some"
"28701",28701,1993,"High School","Only Some"
"28702",28702,1993,"High School","Only Some"
"28703",28703,1993,"High School","A Great Deal"
"28704",28704,1993,"Lt High School","Only Some"
"28705",28705,1993,"High School","A Great Deal"
"28707",28707,1993,"High School","A Great Deal"
"28709",28709,1993,"Lt High School","A Great Deal"
"28710",28710,1993,"Lt High School","A Great Deal"
"28712",28712,1993,"Bachelor","A Great Deal"
"28716",28716,1993,"High School","Only Some"
"28717",28717,1993,"Bachelor","A Great Deal"
"28718",28718,1993,"High School","A Great Deal"
"28719",28719,1993,"Bachelor","A Great Deal"
"28720",28720,1993,"Bachelor","Only Some"
"28721",28721,1993,"High School","A Great Deal"
"28723",28723,1993,"High School","A Great Deal"
"28727",28727,1993,"High School","Hardly Any"
"28728",28728,1993,"High School","Hardly Any"
"28729",28729,1993,"High School","A Great Deal"
"28730",28730,1993,"Junior College","Only Some"
"28733",28733,1993,"Graduate","A Great Deal"
"28734",28734,1993,"Graduate","A Great Deal"
"28735",28735,1993,"High School","Only Some"
"28739",28739,1993,"Lt High School","Only Some"
"28740",28740,1993,"Lt High School","Hardly Any"
"28744",28744,1993,"Graduate","Only Some"
"28745",28745,1993,"Graduate","Only Some"
"28746",28746,1993,"Bachelor","A Great Deal"
"28747",28747,1993,"Graduate","Only Some"
"28748",28748,1993,"High School","Only Some"
"28749",28749,1993,"High School","Only Some"
"28751",28751,1993,"High School","Only Some"
"28753",28753,1993,"High School","Only Some"
"28754",28754,1993,"High School","Only Some"
"28755",28755,1993,"High School","Only Some"
"28756",28756,1993,"High School","Only Some"
"28757",28757,1993,"High School","A Great Deal"
"28758",28758,1993,"Graduate","Only Some"
"28759",28759,1993,"High School","Only Some"
"28762",28762,1993,"Lt High School","Only Some"
"28763",28763,1993,"High School","Only Some"
"28765",28765,1993,"High School","A Great Deal"
"28767",28767,1993,"Graduate","Only Some"
"28768",28768,1993,"Bachelor","Only Some"
"28769",28769,1993,"Bachelor","Only Some"
"28771",28771,1993,"High School","A Great Deal"
"28772",28772,1993,"Bachelor","A Great Deal"
"28773",28773,1993,"Bachelor","A Great Deal"
"28779",28779,1993,"Graduate","A Great Deal"
